Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 1,England,Australia,190,(34.6/40 ov) 191/5,Australia,5 wickets,Melbourne,1971-01-05,1971
ODI # 2,Australia,England,222/8,"(49.1/55 ov, T:223) 226/4",England,6 wickets,Manchester,1972-08-24,1972
ODI # 3,England,Australia,236/9,"(51.3/55 ov, T:237) 240/5",Australia,5 wickets,Lord's,1972-08-26,1972
ODI # 4,Australia,England,179/9,(51.3/55 ov) 180/8,England,2 wickets,Birmingham,1972-08-28,1972
ODI # 5,New Zealand,Pakistan,187,"(33.3/40 ov, T:188) 165",New Zealand,22 runs,Christchurch,1973-02-11,1973
ODI # 6,New Zealand,England,158,(45.3/55 ov) 159/3,England,7 wickets,Swansea,1973-07-18,1973
ODI # 8,West Indies,England,181,(54.3/55 ov) 182/9,England,1 wicket,Leeds,1973-09-05,1973
ODI # 9,England,West Indies,189/9,(42.2/55 ov) 190/2,West Indies,8 wickets,The Oval,1973-09-07,1973
ODI # 10,New Zealand,Australia,194/9,(24.3/35 ov) 195/3,Australia,7 wickets,Dunedin,1974-03-30,1974
ODI # 11,Australia,New Zealand,265/5,"(35 ov, T:266) 234/6",Australia,31 runs,Christchurch,1974-03-31,1974
ODI # 12,India,England,265,(51.1/55 ov) 266/6,England,4 wickets,Leeds,1974-07-13,1974
ODI # 13,India,England,171,(48.5/55 ov) 172/4,England,6 wickets,The Oval,1974-07-15,1974
ODI # 14,England,Pakistan,244/4,"(42.5/50 ov, T:245) 246/3",Pakistan,7 wickets,Nottingham,1974-08-31,1974
ODI # 15,England,Pakistan,81/9,"(18/35 ov, T:82) 84/2",Pakistan,8 wickets,Birmingham,1974-09-03,1974
ODI # 16,Australia,England,190,(37.1/40 ov) 191/7,England,3 wickets,Melbourne,1975-01-01,1975
ODI # 19,England,India,334/4,"(60 ov, T:335) 132/3",England,202 runs,Lord's,1975-06-07,1975
ODI # 20,New Zealand,East Africa,309/5,"(60 ov, T:310) 128/8",New Zealand,181 runs,Birmingham,1975-06-07,1975
ODI # 21,Australia,Pakistan,278/7,"(53/60 ov, T:279) 205",Australia,73 runs,Leeds,1975-06-07,1975
ODI # 22,Sri Lanka,West Indies,86,(20.4/60 ov) 87/1,West Indies,9 wickets,Manchester,1975-06-07,1975
ODI # 23,England,New Zealand,266/6,"(60 ov, T:267) 186",England,80 runs,Nottingham,1975-06-11,1975
ODI # 24,East Africa,India,120,"(29.5/60 ov, T:121) 123/0",India,10 wickets,Leeds,1975-06-11,1975
ODI # 25,Australia,Sri Lanka,328/5,"(60 ov, T:329) 276/4",Australia,52 runs,The Oval,1975-06-11,1975
ODI # 26,Pakistan,West Indies,266/7,(59.4/60 ov) 267/9,West Indies,1 wicket,Birmingham,1975-06-11,1975
ODI # 27,England,East Africa,290/5,"(52.3/60 ov, T:291) 94",England,196 runs,Birmingham,1975-06-14,1975
ODI # 28,India,New Zealand,230,"(58.5/60 ov, T:231) 233/6",New Zealand,4 wickets,Manchester,1975-06-14,1975
ODI # 29,Australia,West Indies,192,"(46/60 ov, T:193) 195/3",West Indies,7 wickets,The Oval,1975-06-14,1975
ODI # 30,Pakistan,Sri Lanka,330/6,"(50.1/60 ov, T:331) 138",Pakistan,192 runs,Nottingham,1975-06-14,1975
ODI # 31,England,Australia,93,(28.4/60 ov) 94/6,Australia,4 wickets,Leeds,1975-06-18,1975
ODI # 32,New Zealand,West Indies,158,(40.1/60 ov) 159/5,West Indies,5 wickets,The Oval,1975-06-18,1975
ODI # 33,West Indies,Australia,291/8,"(58.4/60 ov, T:292) 274",West Indies,17 runs,Lord's,1975-06-21,1975
ODI # 34,West Indies,Australia,224,(31.5/40 ov) 225/5,Australia,5 wickets,Adelaide,1975-12-20,1975
ODI # 35,India,New Zealand,154,(30.3/35 ov) 155/1,New Zealand,9 wickets,Christchurch,1976-02-21,1976
ODI # 36,New Zealand,India,236/8,"(31.6/35 ov, T:237) 156",New Zealand,80 runs,Auckland,1976-02-22,1976
ODI # 37,England,West Indies,202/8,"(41/55 ov, T:203) 207/4",West Indies,6 wickets,Scarborough,1976-08-26,1976
ODI # 38,West Indies,England,221,"(45.3/50 ov, T:222) 185",West Indies,36 runs,Lord's,1976-08-28,1976
ODI # 39,West Indies,England,223/9,"(31.4/32 ov, T:224) 173",West Indies,50 runs,Birmingham,1976-08-30,1976
ODI # 40,New Zealand,Pakistan,198/8,"(35 ov, T:199) 197/9",New Zealand,1 run,Sialkot,1976-10-16,1976
ODI # 41,Pakistan,West Indies,176/7,"(43.2/45 ov, T:177) 182/6",West Indies,4 wickets,Albion,1977-03-16,1977
ODI # 42,Australia,England,169/9,"(45.2/55 ov, T:170) 173/8",England,2 wickets,Manchester,1977-06-02,1977
ODI # 43,England,Australia,171,"(25.2/55 ov, T:172) 70",England,101 runs,Birmingham,1977-06-04,1977
ODI # 44,England,Australia,242,"(53.2/55 ov, T:243) 246/8",Australia,2 wickets,The Oval,1977-06-06,1977
ODI # 45,Pakistan,England,208/6,"(35 ov, T:209) 212/7",England,3 wickets,Sahiwal,1977-12-23,1977
ODI # 46,Pakistan,England,151,(32.7/35 ov) 152/4,England,6 wickets,Sialkot,1977-12-30,1977
ODI # 47,Pakistan,England,158/6,"(31.6/35 ov, T:159) 122",Pakistan,36 runs,Lahore,1978-01-13,1978
ODI # 48,West Indies,Australia,313/9,"(36/36 ov, T:226) 181/7",West Indies,44 runs,St John's,1978-02-22,1978
ODI # 49,West Indies,Australia,139,(35/35 ov) 140/8,Australia,2 wickets,Castries,1978-04-12,1978
ODI # 50,England,Pakistan,217/7,"(47/55 ov, T:218) 85",England,132 runs,Manchester,1978-05-24,1978
ODI # 51,England,Pakistan,248/6,"(55 ov, T:249) 154/8",England,94 runs,The Oval,1978-05-26,1978
ODI # 52,England,New Zealand,206/8,"(55 ov, T:207) 187/8",England,19 runs,Scarborough,1978-07-15,1978
ODI # 53,England,New Zealand,278/5,"(41.2/55 ov, T:279) 152",England,126 runs,Manchester,1978-07-17,1978
ODI # 54,India,Pakistan,170/7,"(40 ov, T:171) 166/8",India,4 runs,Quetta,1978-10-01,1978
ODI # 55,India,Pakistan,79,"(16.5/40 ov, T:80) 83/2",Pakistan,8 wickets,Sialkot,1978-10-13,1978
ODI # 58,Australia,England,101,(28.2/40 ov) 102/3,England,7 wickets,Melbourne,1979-01-24,1979
ODI # 59,England,Australia,212/6,"(38.6/40 ov, T:213) 215/6",Australia,4 wickets,Melbourne,1979-02-04,1979
ODI # 60,England,Australia,94,(21.5/40 ov) 95/4,Australia,6 wickets,Melbourne,1979-02-07,1979
ODI # 61,India,West Indies,190,"(51.3/60 ov, T:191) 194/1",West Indies,9 wickets,Birmingham,1979-06-09,1979
ODI # 62,Sri Lanka,New Zealand,189,(47.4/60 ov) 190/1,New Zealand,9 wickets,Nottingham,1979-06-09,1979
ODI # 63,Australia,England,159/9,(47.1/60 ov) 160/4,England,6 wickets,Lord's,1979-06-09,1979
ODI # 64,Canada,Pakistan,139/9,(40.1/60 ov) 140/2,Pakistan,8 wickets,Leeds,1979-06-09,1979
ODI # 65,India,New Zealand,182,(57/60 ov) 183/2,New Zealand,8 wickets,Leeds,1979-06-13,1979
ODI # 66,Pakistan,Australia,286/7,"(57.1/60 ov, T:287) 197",Pakistan,89 runs,Nottingham,1979-06-13,1979
ODI # 67,Canada,England,45,(13.5/60 ov) 46/2,England,8 wickets,Manchester,1979-06-13,1979
ODI # 68,Sri Lanka,India,238/5,"(54.1/60 ov, T:239) 191",Sri Lanka,47 runs,Manchester,1979-06-16,1979
ODI # 69,West Indies,New Zealand,244/7,"(60 ov, T:245) 212/9",West Indies,32 runs,Nottingham,1979-06-16,1979
ODI # 70,Canada,Australia,105,(26/60 ov) 106/3,Australia,7 wickets,Birmingham,1979-06-16,1979
ODI # 71,England,Pakistan,165/9,"(56/60 ov, T:166) 151",England,14 runs,Leeds,1979-06-16,1979
ODI # 72,England,New Zealand,221/8,"(60 ov, T:222) 212/9",England,9 runs,Manchester,1979-06-20,1979
ODI # 73,West Indies,Pakistan,293/6,"(56.2/60 ov, T:294) 250",West Indies,43 runs,The Oval,1979-06-20,1979
ODI # 74,West Indies,England,286/9,"(51/60 ov, T:287) 194",West Indies,92 runs,Lord's,1979-06-23,1979
ODI # 75,West Indies,Australia,193,"(47.1/50 ov, T:194) 196/5",Australia,5 wickets,Sydney,1979-11-27,1979
ODI # 76,England,West Indies,211/8,"(47/47 ov, T:199) 196",England,2 runs,Sydney,1979-11-28,1979
ODI # 77,Australia,England,207/9,"(49/50 ov, T:208) 209/7",England,3 wickets,Melbourne,1979-12-08,1979
ODI # 78,West Indies,Australia,271/2,"(48/48 ov, T:272) 191/8",West Indies,80 runs,Melbourne,1979-12-09,1979
ODI # 79,England,Australia,264/7,"(47.2/49 ov, T:265) 192",England,72 runs,Sydney,1979-12-11,1979
ODI # 80,Australia,West Indies,176/6,"(42.5/50 ov, T:177) 169",Australia,7 runs,Sydney,1979-12-21,1979
ODI # 81,England,West Indies,217/8,(46.5/50 ov) 218/1,West Indies,9 wickets,Brisbane,1979-12-23,1979
ODI # 82,Australia,England,194/6,(45.1/47 ov) 195/6,England,4 wickets,Sydney,1979-12-26,1979
ODI # 83,Australia,England,163,(48.5/50 ov) 164/8,England,2 wickets,Sydney,1980-01-14,1980
ODI # 84,West Indies,England,246/5,"(42.5/50 ov, T:247) 139",West Indies,107 runs,Adelaide,1980-01-16,1980
ODI # 85,Australia,West Indies,190,"(49.1/50 ov, T:191) 181",Australia,9 runs,Sydney,1980-01-18,1980
ODI # 86,West Indies,England,215/8,"(50 ov, T:216) 213/7",West Indies,2 runs,Melbourne,1980-01-20,1980
ODI # 87,England,West Indies,208/8,(47.3/50 ov) 209/2,West Indies,8 wickets,Sydney,1980-01-22,1980
ODI # 88,West Indies,New Zealand,203/7,"(49.4/50 ov, T:204) 207/9",New Zealand,1 wicket,Christchurch,1980-02-06,1980
ODI # 89,West Indies,England,198,"(51.2/55 ov, T:199) 174",West Indies,24 runs,Leeds,1980-05-28,1980
ODI # 90,West Indies,England,235/9,(54.3/55 ov) 236/7,England,3 wickets,Lord's,1980-05-30,1980
ODI # 91,England,Australia,248/6,"(55 ov, T:249) 225/8",England,23 runs,The Oval,1980-08-20,1980
ODI # 92,England,Australia,320/8,"(55 ov, T:321) 273/5",England,47 runs,Birmingham,1980-08-22,1980
ODI # 93,Pakistan,West Indies,127/9,(40 ov) 128/6,West Indies,4 wickets,Karachi,1980-11-21,1980
ODI # 94,Australia,New Zealand,217/9,"(49.1/50 ov, T:218) 219/7",New Zealand,3 wickets,Adelaide,1980-11-23,1980
ODI # 95,Australia,New Zealand,289/3,"(42.5/50 ov, T:290) 195",Australia,94 runs,Sydney,1980-11-25,1980
ODI # 96,Pakistan,West Indies,200/4,(35.3/40 ov) 201/3,West Indies,7 wickets,Sialkot,1980-12-05,1980
ODI # 97,India,Australia,208/9,"(42.1/49 ov, T:209) 142",India,66 runs,Melbourne,1980-12-06,1980
ODI # 98,New Zealand,Australia,156,"(47.2/50 ov, T:157) 159/6",Australia,4 wickets,Melbourne,1980-12-07,1980
ODI # 99,India,New Zealand,162,"(49.5/50 ov, T:163) 157",India,5 runs,Perth,1980-12-09,1980
ODI # 100,India,Australia,180/9,"(42.2/49 ov, T:181) 183/1",Australia,9 wickets,Sydney,1980-12-18,1980
ODI # 101,West Indies,Pakistan,170/8,"(40 ov, T:171) 163/6",West Indies,7 runs,Lahore,1980-12-19,1980
ODI # 102,India,New Zealand,204,(48.4/49 ov) 205/7,New Zealand,3 wickets,Brisbane,1980-12-21,1980
