"['Australia', 'England', 'Australia', '5 wickets', 'Melbourne', 'Jan 5, 1971', 'ODI # 1']"
Australia,England,Australia,5 wickets,Melbourne,"Jan 5, 1971",ODI # 1,England,Australia,190,(34.6/40 ov) 191/5
England,Australia,England,6 wickets,Manchester,"Aug 24, 1972",ODI # 2,Australia,England,222/8,"(49.1/55 ov, T:223) 226/4"
England,Australia,Australia,5 wickets,Lord's,"Aug 26, 1972",ODI # 3,England,Australia,236/9,"(51.3/55 ov, T:237) 240/5"
England,Australia,England,2 wickets,Birmingham,"Aug 28, 1972",ODI # 4,Australia,England,179/9,(51.3/55 ov) 180/8
New Zealand,Pakistan,New Zealand,22 runs,Christchurch,"Feb 11, 1973",ODI # 5,New Zealand,Pakistan,187,"(33.3/40 ov, T:188) 165"
England,New Zealand,England,7 wickets,Swansea,"Jul 18, 1973",ODI # 6,New Zealand,England,158,(45.3/55 ov) 159/3
England,New Zealand,no result,,Manchester,"Jul 20, 1973",ODI # 7,England,New Zealand,(48.3/55 ov) 167/8
England,West Indies,England,1 wicket,Leeds,"Sep 5, 1973",ODI # 8,West Indies,England,181,(54.3/55 ov) 182/9
England,West Indies,West Indies,8 wickets,The Oval,"Sep 7, 1973",ODI # 9,England,West Indies,189/9,(42.2/55 ov) 190/2
New Zealand,Australia,Australia,7 wickets,Dunedin,"Mar 30, 1974",ODI # 10,New Zealand,Australia,194/9,(24.3/35 ov) 195/3
New Zealand,Australia,Australia,31 runs,Christchurch,"Mar 31, 1974",ODI # 11,Australia,New Zealand,265/5,"(35 ov, T:266) 234/6"
England,India,England,4 wickets,Leeds,"Jul 13, 1974",ODI # 12,India,England,265,(51.1/55 ov) 266/6
England,India,England,6 wickets,The Oval,"Jul 15-16, 1974",ODI # 13,India,England,171,(48.5/55 ov) 172/4
England,Pakistan,Pakistan,7 wickets,Nottingham,"Aug 31, 1974",ODI # 14,England,Pakistan,244/4,"(42.5/50 ov, T:245) 246/3"
England,Pakistan,Pakistan,8 wickets,Birmingham,"Sep 3, 1974",ODI # 15,England,Pakistan,81/9,"(18/35 ov, T:82) 84/2"
